opportunity_id,inspection_id,store_code,store_name,inspection_date,inspection_type_en,inspection_type_cn,module_name,sub_category,issue_description,severity,deduction_points
8753,1973,US00008,33rd & 10th,2026-03-15,Store food safety self-check,门店自检,Facility,Grease traps&Residue traps&Sewer lines,,G,-2
8754,1973,US00008,33rd & 10th,2026-03-15,Store food safety self-check,门店自检,Cleaning and Sanitation,"Operation Stand, Shelf, Cabinet and Water Sink",,L,-1
8758,1977,US00006,102 Fulton,2026-03-27,Store food safety self-check,门店自检,Cleaning and Sanitation,Equipment and Food Processing Utensils,,G,-2
8759,1977,US00006,102 Fulton,2026-03-27,Store food safety self-check,门店自检,Cleaning and Sanitation,Food Processing Area,,L,-1
8760,1977,US00006,102 Fulton,2026-03-27,Store food safety self-check,门店自检,Cleaning and Sanitation,"Operation Stand, Shelf, Cabinet and Water Sink",,L,-1
8761,1979,US00027,52nd & Madison,2026-03-31,Store food safety audit,QA审计,Workplace Safety,Workplace Safety,No check signage on fire extinguishers.,G,-2
8762,1979,US00027,52nd & Madison,2026-03-31,Store food safety audit,QA审计,Process Control,Material Storage Location Specification,Product stored below 6 inch requirement.,G,-2
8763,1979,US00027,52nd & Madison,2026-03-31,Store food safety audit,QA审计,Cleaning and Sanitation,Clean & Sanitize,Sanitizer ppm below acceptable levels.,M,-5
8764,1979,US00027,52nd & Madison,2026-03-31,Store food safety audit,QA审计,Facility,Good condition,Leak found under ice holder/ rinsing sink on food processing floor.,G,-2
8765,1979,US00027,52nd & Madison,2026-03-31,Store food safety audit,QA审计,Cleaning and Sanitation,Equipment and utensils,Milk found on door of refrigerator.,G,-2
8766,1979,US00027,52nd & Madison,2026-03-31,Store food safety audit,QA审计,Facility,Sinks and Pipes,Leak found under coffee machine. (Right.),S,-5
8767,1979,US00027,52nd & Madison,2026-03-31,Store food safety audit,QA审计,Cleaning and Sanitation,Waste Management,Overflow of trash found.,G,-2
